Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"3.5mm Cylindrical Plastic Spacer","For the Pulley ",1,2.76,"https://onlyscrews.in/products/cylindrical-plastic-spacer-assorted-pack-for-m3-screws","onlyscrews"
"GT2 Open Loop Timing Belt ","For the Pulley ",1,4.45,"https://robu.in/product/5-meter-x-gt2-open-timing-belt-6mm-width/?gad_source=1&gad_campaignid=17416544847&gbraid=0AAAAADvLFWeV6_fecEXW7yD2KwMGyNReC&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALWX-X7-D_kdZfqBS0H3PcbnDxu5TxPluOkUvYZnYQs5FsCJWmV2Wf8aArWPEALw_wcB","robu"
"Stepper Motor Cable extended ","Cable with Connector for NEMA17 Stepper Motor",3,1.40,"https://robu.in/product/pure-copper-1000-mm-cable-with-connector-for-nema17-stepper-motor/","robu"
"Extrusion corner bracket","For the Extrusion Rod",1,2.49,"https://robu.in/product/easymech-cast-corner-bracket-for-20x20-aluminium-profile-silver-4-pcs/?gad_source=1&gad_campaignid=17416544847&gbraid=0AAAAADvLFWeV6_fecEXW7yD2KwMGyNReC&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALV4LRrPM7WoKxLHkLVne42PtrbHs_YY74AkHWUyAiKb2j37QFupw0UaAuZZEALw_wcB","robu"
"Cable spiral wrap","For the Cable Protection",3,2.75,"https://robu.in/product/black-insulated-braid-sleeving-tight-pet-wire-cable-protection-expandable-cable-sleeve-wire-gland/?gad_source=1&gad_campaignid=17416544847&gbraid=0AAAAADvLFWeV6_fecEXW7yD2KwMGyNReC&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALW6Kckgv4_RCy8ybwQZHY9RICcNDHibvSeLLwSLn5JaX5Gj5kZvKG8aAs__EALw_wcB","robu"
"Multistrand wire","For the circuit",2,8.51,"https://robu.in/product/14awg-multicore-insulated-cable3-cores-silicone/?gad_source=1&gad_campaignid=17427802559&gbraid=0AAAAADvLFWeNFfLjYJ39W-nS_4sWbPF81&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALWHMKavhQ1qHcP6qWESjeKDFIX7pnvpeTL9LZOoMlfDupwrSZbHsYwaAnDeEALw_wcB","robu"
"M5 Nyloc nuts","For the Frame",20,0.25,"https://onlyscrews.in/products/m5-nyloc-nuts-mild-steel-with-zinc-plating-dia-5mm?currency=INR&country=IN&variant=50059739463993&stkn=6e84ebfba1b8&gad_source=1&gad_campaignid=23633307277&gbraid=0AAAAA9sP2SSMnVaNCVLCqHI69jE9iy_BO&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALWdsKVdWH_XK2kFfxyFlFbWvU02b3JNGJVffN5sYbhEzycMn1RRN14aAu9HEALw_wcB","onlyscrews"
"M3 5mm","For the stepper motor",20,0.35,"https://onlyscrews.in/products/m3-x-5mm-phillips-pan-head-ss-304-screw-dia-3mm-length-5mm","onlyscrews"
"M5 X 40mm Hex Bolt","For the Frame",20,1.31,"https://onlyscrews.in/products/m5-x-40mm-hex-bolt-ss304-dia-5mm-length-40mm?currency=INR&country=IN&variant=50078395760953&stkn=6e84ebfba1b8&utm_source=google&utm_medium=cpc&utm_campaign=inderans_campaign_copy&gad_source=1&gad_campaignid=22930701107&gbraid=0AAAAA9sP2SSH1r26WHc6b4kR6oHIPnyZj&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALVO-lVKauidUwBHXRim8nEjOTEB246j9kEfbZuJn508WOhMlg3UoAgaAoGmEALw_wcB","onlyscrews"
"M5 Bolts","For the frame ",25,3.39,"https://onlyscrews.in/products/m5-phillips-pan-head-ss304-assorted-box?currency=INR&country=IN&variant=50424708858169&stkn=6e84ebfba1b8&utm_source=google&utm_medium=cpc&utm_campaign=inderans_campaign_copy&gad_source=1&gad_campaignid=22930701107&gbraid=0AAAAA9sP2SSH1r26WHc6b4kR6oHIPnyZj&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALXWckbz3mX8A3qACf22M_SuVkp5iQpOOqCkEK5ELHmQAk9AVEqthoEaApGoEALw_wcB","onlyscrews"
"M5 Sliding Nuts","For the 2020 Extrusion Rod",20,1.91,"https://onlyscrews.in/products/m4-profile-nuts-mild-steel-with-nickel-plating-for-3030-series-t-nut-hammer-nut-1?currency=INR&country=IN&variant=50662617383225&stkn=6e84ebfba1b8&gad_source=1&gad_campaignid=23633307277&gbraid=0AAAAA9sP2SSMnVaNCVLCqHI69jE9iy_BO&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALWc8-48KAZuBMJriR3emVEtklfOenfcqTM75vcJjYbDCRYzP7gtBcMaAtGPEALw_wcB","onlyscrews"
"Aluminium Spacer (M5)","For the Pulley",4,4.19,"https://robu.in/product/lot-aluminium-spacer-5x8mm-7mm-width-silver-4pcs/?gad_source=1&gad_campaignid=17416544847&gbraid=0AAAAADvLFWeV6_fecEXW7yD2KwMGyNReC&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALXjwKWKAPWERNiOz14m6j-zMPEkgBBMNEwkOjFHlQz-XXjXZYS63UUaAuZjEALw_wcB","robu"
"10mm Spring (ID 5mm)","For the pen holder",12,0.64,"https://onlyscrews.in/products/od-5mm-free-length-10mm-wire-dia-0-6mm-compression-spring-stainless-steel-304?currency=INR&country=IN&variant=53625349472569&stkn=6e84ebfba1b8&srsltid=AfmBOoqVrDx-Ldc_88YfdV64YuVTOdw0OwTo3OMMpkCciI0Z875Eq3qS6Fo","onlyscrews"
"M5 X 45mm Hard Dowel Pins","For the pulley ",20,1.91,"https://onlyscrews.in/products/m5-x-45mm-hard-dowel-pins-dia-5mm-length-45mm?currency=INR&country=IN&variant=53296496017721&stkn=6e84ebfba1b8&srsltid=AfmBOooYPuf1Y5UIvdnVcB3wyyT6I3BgBfi1eKfbfEw2ttHG9k4DVQr-oas","onlyscrews"
"12V 3A power supply","For Power",1,5.59,"https://robu.in/product/standard-12v-3a-power-supply-with-5-5mm-dc-plug-desktop-type/?gad_source=1&gad_campaignid=17427802559&gbraid=0AAAAADvLFWeNFfLjYJ39W-nS_4sWbPF81&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALWph3h6QE-cwOkwUVcm4mqgnm8YQdb00utAdDjYq9M4xZu9O6it-PYaAn41EALw_wcB","robu"
"Pin sockets ","For Connection",2,0.23,"https://robu.in/product/2-54mm-1x40-pin-female-single-row-header-strip-pack-of-10/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWcDnSG1W03jzKTevOWL8dN2p&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALX20xFlt0RmoXuB9i_yK7OUUR2WnBMqRG3gxyZI7rpIPSGggEMj21IaArfPEALw_wcB","robu"
"JST wire connectors","For the connector",4,1.48,"https://robu.in/product/jst-xh-2-54mm-4-pin-female-housing-connector/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWcDnSG1W03jzKTevOWL8dN2p&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALUnnn0kQXRptaygshQrHQ4GrH1CIv3uZGoWrwIsDPDtzLKa8ZbZNrYaAharEALw_wcB","robu"
"JST 4-pin connectors","For Connection",12,1.65,"https://robu.in/product/4-pin-jst-xh-2-54mm-pitch-plug-and-socket-with-cable-5-pcs/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWcDnSG1W03jzKTevOWL8dN2p&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALV4Xu0R33MjW3TKi27UxTtMEh1mtRsRt6O31JcNEVRwyYGgDxC2bvwaAgyDEALw_wcB","robu"
"JST 3-pin connectors","For the Connection",12,1.52,"https://robu.in/product/3-pin-jst-xh-2-54mm-pitch-plug-and-socket-with-cable-10-pcs/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWcDnSG1W03jzKTevOWL8dN2p&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALU-dsrENM3SdUrZCwZBL3aZIpX9c0CSFuw2bAay0t50bo2HKV8WC-kaAuSFEALw_wcB","robu"
" Endstop Switch","For the limit end",6,2.99,"https://robu.in/product/cnc-3d-printer-mech-endstop-switch/?gad_source=1&gad_campaignid=20387462343&gbraid=0AAAAADvLFWfUAYtwwMgGkSrCg8TecyWiB&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALUVEq41N6LTqOY71-i7_OoxQ-DZz-_zx7lWjRimkFltpGfYirkDhusaAn3wEALw_wcB","robu"
"A4988 driver Stepper Motor Driver","For the CNC Shield",3,3.97,"https://robu.in/product/a4988-driver-stepper-motor-driver/?gad_source=1&gad_campaignid=20381096599&gbraid=0AAAAADvLFWekgUWdD-yQKIKT9ar2w3e5v&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALXFLRpgExZwVO6s8_gYb_4l5NbCSciVEsRpVqOt-dY6pDRS95jUgwAaAlgnEALw_wcB","robu"
"GT2 5mm Bore Aluminum Pulley Without Teeth","For the belt to move ",8,6.12,"https://www.flyrobo.in/gt2-5mm-bore-aluminum-pulley-without-20-teeth-for-6mm-belt?tracking=ads&tracking=4a9a9a&gad_source=1&gad_campaignid=17426303996&gbraid=0AAAAAC6AkE_NECiWtmL3gzgQd0fCbk3-i&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALWtWxK-a4f3lJ1uvLOhbUf1l0i_MyVL6cz27qdDOn1AG1Hd2MrKTOIaAipLEALw_wcB","flyrobo"
"GT2 Pulley 20 Teeth 5mm for 6mm","For drive the belt ",4,1.08,"https://robu.in/product/gt2-6mm-belt-width-20-teeth-5mm-bore-timing-pulley/?gad_source=1&gad_campaignid=20387462343&gbraid=0AAAAADvLFWfUAYtwwMgGkSrCg8TecyWiB&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALXdWwLET5uyaohu0XNnp_Y0dAzfNmrIErzMyo2Ps2MA2Qm8VsP0euEaAr56EALw_wcB","robu"
"SG90 Servo Motor","For the Pen Movement",1,1.55,"https://robu.in/product/towerpro-sg90-9gm-1-2kg-180-degree-rotation-servo-motor-good-quality/?gad_source=1&gad_campaignid=20381096599&gbraid=0AAAAADvLFWekgUWdD-yQKIKT9ar2w3e5v&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALUAwgs-BqwCSTB2tglRx1_5u7uQHVODmnASf51Fq6CcfjZDI1z5pcMaArlFEALw_wcB","robu"
"CNC Shield V3","CNC Control Boa",1,1.60,"https://www.flyrobo.in/cnc-shield-v3-for-engraving-machine-3d-printer-a4988-drv8825-driver-expansion-board?tracking=ads&tracking=4a9a9a&gad_source=1&gad_campaignid=17426303996&gbraid=0AAAAAC6AkE_NECiWtmL3gzgQd0fCbk3-i&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALXV9eErA8kUFejMuU87Y4kiCu4ZusP3GRvG_vjaQbks1Pe8SIi0RD4aAskkEALw_wcB","flyrobo"
"Arduino Uno","The Main Board",1,2.28,"https://robu.in/product/arduino-uno-r3-ch340g-atmega328p-devlopment-board/?gad_source=1&gad_campaignid=17413441824&gbraid=0AAAAADvLFWdfI1XB-KkKXV0RB4QUU0TIl&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALUwC76VBNjlEC_UhJ4AEnzJoZIEqQEkTVERvXjqXoYtZt-cnzrkl68aAu-wEALw_wcB","robu"
"GT2 Timing Belt 6mm","For Gantry System",1,6.66,"https://robu.in/product/10m-gt2-width-6mm-white-open-timing-belt-for-3d-printer/?gad_source=1&gad_campaignid=20387462343&gbraid=0AAAAADvLFWfUAYtwwMgGkSrCg8TecyWiB&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALW559IxzQVHFMmQXSUs8_ur-759EhIaRUzT6NXlhkmG7l5hYcAz2uoaAm_jEALw_wcB","robu"
"V-Slot Idler Pulley","For Gantry System",14,9.20,"https://www.flyrobo.in/openbuilds-plastic-wheel-idler-pulley?tracking=ads&tracking=4a9a9a&gad_source=1&gad_campaignid=17426303996&gbraid=0AAAAAC6AkE_NECiWtmL3gzgQd0fCbk3-i&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALVZydW5oqzWb8p7Mpcs0WUBl-bKHlFv_qlc160ZvSgCLvOsrBOlTxsaAnJIEALw_wcB","flyrobo"
"Nema 17 Bipolar Stepper Motor","The Main Motor",3,40.90,"https://robu.in/product/fulling-fl42sth38-1684a-nema-17-stepper-motor/","robu"
"2020 Aluminium Extrusion ","For the Frame",5,37.09,"https://robu.in/product/easymech-20x20-t-slot-aluminium-extrusion-profile-1500-mm/?gad_source=1&gad_campaignid=17416544847&gbraid=0AAAAADvLFWeV6_fecEXW7yD2KwMGyNReC&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALW-4mr0xMai9GUFMWCMWb8fglqwupc6Pt-b0wQmlohO40K5rTqcSpEaAnUyEALw_wcB","robu"